,Entry Number,Detection Code,Date,Month,FY,City,County,State,LAT,LON,Common Name,Sci Name ,Host Plant Name,Male,Female (Unmated),Female (mated),Adult (unknown sex),Larvae,Stage,Fly Status,Priority,Eradication Code,Quarantine,Cluster,Trap,Location,Ratio Sterile:Wild,1 Fly Life Cycle,2 Fly Life Cycle,3 Fly Life Cycle,Notes,DD_from_first_detection,gen_from_first_detection,DD_from_last_detection,gen_from_last_detection
6,743,x7,2021-09-29,,2021,San Jose,Santa Clara,CA,37.28,-121.88,OFF,Bactrocera dorsalis,Tangerine,1.0,,,,,Adult,,,,21CA-SAN01.01.01,21CA-SAN01.01,Jackson,,,,,,,186.71599435806274,0.3,65.48,0.1
0,749,x1,2021-09-24,,2021,San Jose,Santa Clara,CA,37.29,-121.84,OFF,Bactrocera dorsalis,Lime,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,134.6470947265625,0.22,27.13,0.04
1,748,x2,2021-09-23,,2021,San Jose,Santa Clara,CA,37.3,-121.84,OFF,Bactrocera dorsalis,Apple,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,120.86649560928345,0.19,29.51,0.05
2,747,x3,2021-09-22,,2021,San Jose,Santa Clara,CA,37.3,-121.85,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,107.51389598846436,0.17,39.89,0.06
3,746,x4,2021-09-20,,2021,San Jose,Santa Clara,CA,37.29,-121.83,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,77.89064693450928,0.12,77.89,0.12
4,745,x5,2021-09-20,,2021,San Jose,Santa Clara,CA,37.3,-121.84,OFF,Bactrocera dorsalis,Fig,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,77.89064693450928,0.12,10.27,0.02
5,744,x6,2021-09-14,,2021,San Jose,Santa Clara,CA,37.29,-121.82,OFF,Bactrocera dorsalis,Peach,1.0,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,,0.0,0.0,,
7,742,AM0P06255440,2021-11-05,,2022,Upland,San Bernardino,CA,34.12,-117.68,Medfly,Ceratitis capitata,Orange,1.0,,,,,Adult,Quarantine,2 - High,,21CA-SBE01.01,21CA-SBE01.01,Jackson,,,3/13/1933,5/3/2022,6/18/2022,,65.69386770305924,0.19,65.69,0.19
8,741,SA0P06617862,2021-10-25,,2022,Upland,San Bernardino,CA,34.15,-117.66,Medfly,Ceratitis capitata,Grapefruit,,1.0,,,,Adult,Quarantine,,,21CA-SBE01.01,21CA-SBE01.01,Jackson,,,1/13/2022,4/9/2022,6/8/2022,,0.0,0.0,,
9,740,SJ0P06743108,2022-08-20,,2022,Valley Center,San Diego,CA,33.25,-117.03,Mexfly,Anastrepha ludens,Orange,1.0,,,,,Adult,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,10/12/2022,4/6/2023,7/2/2023,,299.1332891464234,0.4,63.71,0.08
