Entry Number,Detection Code,Date,Month,FY,City,County,State,LAT,LON,Common Name,Sci Name ,Host Plant Name,Male,Female (Unmated),Female (mated),Adult (unknown sex),Larvae,Stage,Fly Status,Priority,Eradication Code,Quarantine,Cluster,Trap,Location,Ratio Sterile:Wild,1 Fly Life Cycle,2 Fly Life Cycle,3 Fly Life Cycle,Notes
749,x1,9/24/2021,,2021,San Jose,Santa Clara,CA,37.29,-121.84,OFF,Bactrocera dorsalis,Lime,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
748,x2,9/23/2021,,2021,San Jose,Santa Clara,CA,37.3,-121.84,OFF,Bactrocera dorsalis,Apple,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
747,x3,9/22/2021,,2021,San Jose,Santa Clara,CA,37.3,-121.85,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
746,x4,9/20/2021,,2021,San Jose,Santa Clara,CA,37.29,-121.83,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
745,x5,9/20/2021,,2021,San Jose,Santa Clara,CA,37.3,-121.84,OFF,Bactrocera dorsalis,Fig,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
744,x6,9/14/2021,,2021,San Jose,Santa Clara,CA,37.29,-121.82,OFF,Bactrocera dorsalis,Peach,1,,,,,Adult,,,,21CA-SAN01.01,21CA-SAN01.01,Jackson,,,,,,
743,x7,9/29/2021,,2021,San Jose,Santa Clara,CA,37.28,-121.88,OFF,Bactrocera dorsalis,Tangerine,1,,,,,Adult,,,,21CA-SAN01.01.01,21CA-SAN01.01,Jackson,,,,,,
742,AM0P06255440,11/5/2021,,2022,Upland,San Bernardino,CA,34.12,-117.68,Medfly,Ceratitis capitata,Orange,1,,,,,Adult,Quarantine,2 - High,,21CA-SBE01.01,21CA-SBE01.01,Jackson,,,3/13/1933,5/3/2022,6/18/2022,
741,SA0P06617862,10/25/2021,,2022,Upland,San Bernardino,CA,34.15,-117.66,Medfly,Ceratitis capitata,Grapefruit,,1,,,,Adult,Quarantine,,,21CA-SBE01.01,21CA-SBE01.01,Jackson,,,1/13/2022,4/9/2022,6/8/2022,
740,SJ0P06743108,8/20/2022,,2022,Valley Center,San Diego,CA,33.25,-117.03,Mexfly,Anastrepha ludens,Orange,1,,,,,Adult,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,10/12/2022,4/6/2023,7/2/2023,
739,SM0P50005903,8/17/2022,,2022,Valley Center,San Diego,CA,33.25,-117.03,Mexfly,Anastrepha ludens,Orange,,,,,1,Larva,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,,,,,,,
738,SM0P50000477,8/16/2022,,2022,Valley Center,San Diego,CA,33.25,-117.03,Mexfly,Anastrepha ludens,Orange,2,,,,,Adult,Quarantine,2 - High,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,10/7/2022,3/25/2023,6/27/2023,
737,SM0P50005902,8/15/2022,,2022,Valley Center,San Diego,CA,33.25,-117.03,Mexfly,Anastrepha ludens,Orange,,1,,,,Adult,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,10/4/2022,3/19/2023,6/24/2023,
736,SM0P50005901,8/12/2022,,2022,Valley Center,San Diego,CA,33.25,-117.02,Mexfly,Anastrepha ludens,Orange,1,,,,,Adult,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,10/2/2022,3/14/2023,6/21/2023,
735,SM0P50000476,8/3/2022,,2022,Valley Center,San Diego,CA,33.25,-117.02,Mexfly,Anastrepha ludens,Citrus reticulata,,1,,,,Adult,Quarantine,,,22CA-DIE01.01,22CA-DIE01.01,McPhail,,,9/21/2022,1/25/2023,6/5/2023,
734,CE2P06578554,6/28/2022,,2022,North Hills,Los Angeles,CA,34.24,-118.49,OFF,Bactrocera dorsalis,Lemon,2,,,,,Adult,Quarantine,,,22CA-LOS01.01,22CA-LOS01.01,Jackson,,,7/29/2022,8/27/2022,9/26/2022,
733,CE2P06578553,6/28/2022,,2022,North Hills,Los Angeles,CA,34.24,-118.49,OFF,Bactrocera dorsalis,Fig,10,,,,,Adult,Quarantine,2 - High,,22CA-LOS01.01,22CA-LOS01.01,Jackson,,,7/29/2022,8/27/2022,9/26/2022,
732,CE2P06842783,6/27/2022,,2022,North Hills,Los Angeles,CA,34.24,-118.48,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,Quarantine,,,22CA-LOS01.01,22CA-LOS01.01,Jackson,,,7/28/2022,8/26/2022,9/25/2022,
731,CE2P06842782,6/22/2022,,2022,North Hills,Los Angeles,CA,34.24,-118.46,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,Quarantine,,,22CA-LOS01.01,22CA-LOS01.01,Jackson,,,7/25/2022,8/24/2022,9/22/2022,
730,AH0P06298598,1/5/2023,,2023,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Lemon,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,5/2/2023,7/8/2023,8/20/2023,
729,AH0P06298613,10/27/2022,,2023,Fountain Valley,Orange,CA,33.73,-117.96,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,2/11/2023,5/25/2023,7/21/2023,
728,AH0P06298597,10/19/2022,,2023,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Orange,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,1/26/2023,5/15/2023,7/15/2023,
727,AH0P06298596,10/10/2022,,2023,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,12/28/2022,4/27/2023,7/4/2023,
726,AH0P06298594,10/4/2022,,2023,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,12/10/2022,4/16/2023,6/25/2023,
725,AH0P06298612,9/29/2022,,2022,Westminster,Orange,CA,33.74,-117.95,OFF,Bactrocera dorsalis,Pomelo,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,12/4/2022,4/11/2023,6/22/2023,
724,AH0P06298493,9/28/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,2,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,12/2/2022,4/9/2023,6/21/2023,
723,AH0P06298611,9/27/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Persimmon,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/29/2022,4/3/2023,6/19/2023,
722,AH0P06298610,9/27/2022,,2022,Westminster,Orange,CA,33.75,-117.96,OFF,Bactrocera dorsalis,Persimmon,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,11/29/2022,4/3/2023,6/19/2023,
721,AH0P06298608,9/23/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Fig,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/20/2022,3/25/2023,6/13/2023,
720,AH0P06298609,9/23/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/20/2022,3/25/2023,6/13/2023,
719,AM0P06298607,9/22/2022,,2022,Westminster,Orange,CA,33.75,-117.96,OFF,Bactrocera dorsalis,Persimmon,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,11/20/2022,3/25/2023,6/13/2023,
718,AM0P50056021,9/22/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Pomelo,,,,,4,Larva,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,,,,,,,
717,AH0P06298592,9/13/2022,,2022,Garden Grove,Orange,CA,33.76,-117.96,OFF,Bactrocera dorsalis,Persimmon,1,,,,,Adult,Quarantine,2 - High,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/31/2022,2/20/2023,5/29/2023,
716,AH0P06298591,9/13/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Jujube,1,,,,,Adult,Quarantine,,22CA-E08-F07,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/31/2022,2/20/2023,5/29/2023,
715,AH0P06298588,9/10/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Guava,,1,,,,Adult,Quarantine,,22CA-E08-F06,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,10/25/2022,2/9/2023,5/23/2023,
714,AH0P06298589,9/10/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,22CA-E08-F05,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/25/2022,2/9/2023,5/23/2023,
713,AH0P06298587,9/9/2022,,2022,Garden Grove,Orange,CA,33.76,-117.95,OFF,Bactrocera dorsalis,Rose Apple,,1,,,,Adult,Quarantine,,22CA-E08-F04,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/23/2022,2/6/2023,5/21/2023,
712,AH0P06298525,9/8/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Jujube,1,,,,,Adult,Quarantine,,22CA-E08-F03,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/21/2022,2/3/2023,5/19/2023,
711,AH0P06298523,9/7/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,22CA-E08-F02,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/20/2022,1/29/2023,5/17/2023,
710,AH0P06298520,8/16/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Fig,1,,,,,Adult,Quarantine,,22CA-E08-F01,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,9/24/2022,11/22/2022,3/28/2023,
709,LH0P50020023,8/14/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,9/7/2023,10/7/2023,11/20/2023,
